,Released,Movie,Genre,Budget,Revenue,Trailer,Year
164,1990-11-21 00:00:00,3 Men and a Little Lady,Comedy,,71609321.0,,1990
165,2006-12-01 00:00:00,3 Needles,Drama,,0.0,,2006
166,1992-08-07 00:00:00,3 Ninjas,Action,,29028000.0,,1992
167,1998-04-10 00:00:00,3 Ninjas: High Noon at Mega Mountain,Action,,308082.0,,1998
168,1994-05-06 00:00:00,3 Ninjas Kick Back,Action,20000000.0,11744960.0,,1994
169,1995-04-07 00:00:00,3 Ninjas Knuckle Up,Action,,407618.0,,1995
170,2005-07-27 00:00:00,The 3 Rooms of Melancholia,Documentary,,16080.0,,2005
171,2000-03-01 00:00:00,3 Strikes,Comedy,4000000.0,9821335.0,,2000
172,2012-07-20 00:00:00,30 Beats,Drama,,14686.0,,2012
173,2000-09-15 00:00:00,30 Days,Comedy,,13753.0,,2000
174,2007-10-19 00:00:00,30 Days of Night,Horror,30000000.0,39568996.0,,2007
175,2010-10-05 00:00:00,30 Days of Night: Dark Days,Horror,,0.0,,2010
176,2011-08-12 00:00:00,30 Minutes or Less,Comedy,28000000.0,37053924.0,Play,2011
177,2013-01-15 00:00:00,30 Nights Of Paranormal Activity With The Devil Inside The Girl With The Dragon Tattoo,,3000000.0,0.0,,2013
178,2002-06-07 00:00:00,30 Years to Life,Comedy,,99023.0,,2002
179,2007-03-09 00:00:00,300,Action,60000000.0,210614939.0,,2007
180,2014-03-07 00:00:00,300: Rise of an Empire,Action,110000000.0,102557652.0,Play,2014
181,2014-02-25 00:00:00,The 300 Spartans,Action,,0.0,,2014
182,2001-02-23 00:00:00,3000 Miles to Graceland,Drama,62000000.0,15738632.0,,2001
183,2009-12-31 00:00:00,31 North 62 East,Thriller/Suspense,,0.0,,2009
184,2007-09-02 00:00:00,3:10 to Yuma,Western,48000000.0,53606916.0,,2007
185,2013-05-17 00:00:00,33 Postcards,Drama,,0.0,,2013
186,2011-05-20 00:00:00,35 and Ticking,Romantic Comedy,,113804.0,,2011
187,2009-09-18 00:00:00,35 Rhums,Drama,,177511.0,,2009
188,2010-12-31 00:00:00,36,Thriller/Suspense,,0.0,,2010
189,2011-12-31 00:00:00,36,Drama,,0.0,,2011
190,2013-09-06 00:00:00,36 Saints,Thriller/Suspense,,0.0,,2013
191,2012-08-03 00:00:00,360,Thriller/Suspense,,100343.0,,2012
192,1986-11-07 00:00:00,37°2 le matin,Drama,,12013.0,,1986
193,2011-12-31 00:00:00,The 39 Clues,Adventure,,0.0,,2011
194,2005-11-23 00:00:00,39 Pounds of Love,Documentary,,28125.0,,2005
195,1993-08-15 00:00:00,The 39 Steps,,,0.0,,1993
196,2011-06-07 00:00:00,3D Aquarium,Documentary,,0.0,,2011
197,2012-05-29 00:00:00,3D Mystic Mountains,Documentary,,0.0,,2012
198,2011-08-12 00:00:00,3D Sex and Zen: Extreme Ecstasy,Comedy,,152365.0,,2011
199,2008-12-31 00:00:00,3D Sun,Documentary,,0.0,,2008
200,2006-04-07 00:00:00,4,Drama,,18926.0,,2006
201,2012-07-31 00:00:00,4.3.2.1,,,0.0,,2012
202,2012-03-23 00:00:00,4:44 Last Day on Earth,Drama,,17801.0,,2012
203,2011-07-20 00:00:00,4 aventures de Reinette et Mirabelle,Comedy,,20589.0,,2011
204,1997-07-09 00:00:00,4 Little Girls,Documentary,,218444.0,,1997
205,2008-01-25 00:00:00,"4 luni, 3 saptamani si 2 zile",Drama,900000.0,1196321.0,,2008
206,2013-08-16 00:00:00,Les 4 soldats,Drama,,33912.0,,2013
207,2002-03-01 00:00:00,40 Days and 40 Nights,Romantic Comedy,17000000.0,37939782.0,,2002
208,2012-12-31 00:00:00,40 Point Plan,,,0.0,,2012
209,2005-08-19 00:00:00,The 40 Year-old Virgin,Comedy,26000000.0,109449237.0,,2005
210,2009-12-31 00:00:00,The 41 Year Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,,,0.0,,2009
211,2012-12-11 00:00:00,41,Documentary,,0.0,,2012
212,2010-06-08 00:00:00,The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,,,0.0,,2010
213,2013-04-12 00:00:00,42,Drama,40000000.0,95020213.0,Play,2013
214,1999-11-17 00:00:00,42: Forty Two Up,Documentary,,300680.0,,1999
215,1933-03-09 00:00:00,42nd Street,Musical,439000.0,1438000.0,,1933
216,2010-01-15 00:00:00,44 Inch Chest,,,39033.0,,2010
217,2011-12-31 00:00:00,442nd,Drama,,0.0,,2011
218,2010-02-26 00:00:00,45365,Documentary,,1909.0,,2010
219,2013-12-25 00:00:00,47 Ronin,Action,175000000.0,38362475.0,Play,2013
220,2008-12-31 00:00:00,48 heures par jour,,,0.0,,2008
221,1982-12-08 00:00:00,48 Hrs.,Action,,75936265.0,,1982
222,2006-10-06 00:00:00,49 Up,Documentary,,241772.0,,2006
223,2002-11-22 00:00:00,The 4th Tenor,Comedy,,2152.0,,2002
224,2012-05-30 00:00:00,5 Broken Cameras,Documentary,,109983.0,,2012
225,2011-08-19 00:00:00,5 Days of War,Drama,12000000.0,17479.0,,2011
226,2013-05-03 00:00:00,"5 de Mayo, La Batalla",Action,,173472.0,,2013
227,2004-02-13 00:00:00,50 First Dates,Romantic Comedy,75000000.0,120776832.0,,2004
228,2014-03-21 00:00:00,50 to 1,Drama,,163009.0,,2014
229,2006-06-02 00:00:00,50 Ways of Saying Fabulous,Drama,,4800.0,,2006
230,2009-07-17 00:00:00,(500) Days of Summer,Romantic Comedy,7500000.0,32391374.0,Play,2009
231,2011-09-30 00:00:00,50/50,Black Comedy,8000000.0,35016118.0,Play,2011
232,2010-10-19 00:00:00,50th Anniversary Christmas,Concert/Performance,,0.0,,2010
233,2010-12-31 00:00:00,51,Horror,,0.0,,2010
234,2006-10-18 00:00:00,51 Birch Street,Documentary,350000.0,84689.0,,2006
235,2009-10-09 00:00:00,"5150, Rue des Ormes",,,1053966.0,,2009
236,1986-11-07 00:00:00,52 Pick-Up,Action,,5186646.0,,1986
237,1998-08-28 00:00:00,54,Drama,13000000.0,16757163.0,,1998
238,1963-01-01 00:00:00,55 Days at Peking,Drama,17000000.0,10000000.0,,1963
239,2013-01-04 00:00:00,56 Up,Documentary,,701278.0,,2013
240,2011-12-31 00:00:00,58: The Film,,,0.0,,2011
241,2011-03-25 00:00:00,The 5th Quarter,Drama,6000000.0,408159.0,,2011
242,2005-06-10 00:00:00,5×2,Comedy,,128752.0,,2005
243,2012-09-11 00:00:00,6 Bullets,Action,,0.0,,2012
244,2010-03-30 00:00:00,6 Guns,,,0.0,,2010
245,2012-06-01 00:00:00,6 Month Rule,Comedy,,14057.0,,2012
246,2013-04-05 00:00:00,6 Souls,Horror,,0.0,,2013
247,2000-11-17 00:00:00,The 6th Day,Action,82000000.0,34543701.0,,2000
248,2014-02-07 00:00:00,7 cajas,Action,,0.0,,2014
249,2007-08-17 00:00:00,7 días,Comedy,,16791.0,,2007
250,2007-12-31 00:00:00,Il 7 E L'8,,,0.0,,2007
251,2012-06-26 00:00:00,7-gwang-goo,,,0.0,,2012
252,2011-08-04 00:00:00,7 gwanggu,Multiple Genres,,0.0,,2011
253,2006-12-31 00:00:00,7 Zwerge - Der Wald Ist Nicht Genug,Comedy,,0.0,,2006
254,2010-07-30 00:00:00,71: Into the Fire,Drama,,159335.0,,2010
255,2012-12-31 00:00:00,7500,Thriller/Suspense,,0.0,,2012
256,2003-01-17 00:00:00,7th Street,Documentary,,15629.0,,2003
257,2010-12-31 00:00:00,7X,,,0.0,,2010
258,1963-06-25 00:00:00,8½,Drama,,50690.0,,1963
259,2000-05-26 00:00:00,8½ Women,Drama,,417517.0,,2000
260,2005-10-13 00:00:00,8 Dates a Week,Romantic Comedy,,0.0,,2005
261,2002-09-20 00:00:00,8 femmes,Musical,8000000.0,3076425.0,,2002
262,2006-11-17 00:00:00,8 Films to Die For,Horror,,2310680.0,,2006
263,1997-04-18 00:00:00,8 Heads in a Duffel Bag,Black Comedy,3000000.0,3602884.0,,1997
264,2002-11-08 00:00:00,8 Mile,Drama,41000000.0,116724075.0,,2002
265,1986-10-01 00:00:00,8 Million Ways to Die,Action,,1305114.0,,1986
266,1994-02-25 00:00:00,8 Seconds,Drama,,19582455.0,,1994
267,2010-06-18 00:00:00,8: The Mormon Proposition,Documentary,,100280.0,,2010
268,2009-12-31 00:00:00,8 x 10 Tasveer,,,0.0,,2009
269,2004-10-29 00:00:00,800 balas,Comedy,,866.0,,2004
270,1987-02-13 00:00:00,84 Charing Cross Road,Drama,,1083486.0,,1987
271,1989-04-07 00:00:00,84C MoPic,Drama,,154264.0,,1989
272,2008-04-18 00:00:00,88 Minutes,Thriller/Suspense,30000000.0,16930884.0,,2008
273,1999-02-26 00:00:00,8MM,Thriller/Suspense,40000000.0,36443442.0,,1999
274,2009-09-09 00:00:00,9,Adventure,30000000.0,31749894.0,Play,2009
275,2008-12-12 00:00:00,$9.99,Comedy,,52107.0,,2008
276,2005-07-22 00:00:00,9 Songs,Drama,,49835.0,,2005
277,2011-12-31 00:00:00,920 Sacramento,Drama,,0.0,,2011
278,2006-04-07 00:00:00,95 Miles to Go,Documentary,,3195.0,,2006
279,2012-04-27 00:00:00,96 Minutes,Drama,,0.0,,2012
280,1989-03-22 00:00:00,976-Evil,Horror,,2955917.0,,1989
281,2008-06-06 00:00:00,99 francs,Comedy,,79477.0,,2008
282,2013-09-06 00:00:00,99% - The Occupy Wall Street Collaborative Film,Documentary,,0.0,,2013
283,2005-12-31 00:00:00,9th Company,Drama,,0.0,,2005
284,2013-10-04 00:00:00,A.C.O.D.,Comedy,,157690.0,,2013
285,2009-12-31 00:00:00,Á Deriva,,,0.0,,2009
286,1986-01-31 00:00:00,A.K.: The Making of Ran,Documentary,,0.0,,1986
287,2008-04-15 00:00:00,à L'Intérieur,Horror,,0.0,,2008
288,2003-02-14 00:00:00,à la folie... pas du tout,Thriller/Suspense,,1009827.0,,2003
289,2009-12-31 00:00:00,A Mulher Invisível,Romantic Comedy,,0.0,,2009
290,2012-10-16 00:00:00,A Princess for Christmas,Romantic Comedy,,0.0,,2012
291,2010-06-11 00:00:00,The A-Team,Action,110000000.0,77222099.0,Play,2010
292,2009-09-04 00:00:00,Aage Se Right,,,0.0,,2009
293,2014-02-21 00:00:00,Aaha Kalyanam,Romantic Comedy,,0.0,,2014
294,2007-11-30 00:00:00,Aaja Nachle,Musical,,484108.0,,2007
295,2007-12-31 00:00:00,Aap Kaa Surroor,,,0.0,,2007
296,2011-08-12 00:00:00,Aarakshan,Drama,,651096.0,,2011
297,2011-12-31 00:00:00,Aaron and Sarah,Romantic Comedy,,0.0,,2011
298,2010-08-27 00:00:00,Aashayein,Drama,,0.0,,2010
299,2013-04-26 00:00:00,Aashiqui 2,Musical,,0.0,,2013
300,2014-01-24 00:00:00,Aatsinke: The Story of Arctic Cowboys,Documentary,,0.0,,2014
301,2002-10-18 00:00:00,Abandon,Thriller/Suspense,25000000.0,10719367.0,,2002
